"expName","subjectId","subjectGender","subjectAge","session","block","trial","targetOri","targetPos","distrMean","dtype","dsd","targetDist","t_dist_to_prev_d","rt","correct","prev_correct"
"distr_stats",1,"F",26,1,30,"0",137,25,71,"norm",5,66,66,737.672985931,1,0
"distr_stats",1,"F",26,1,30,"1",137,10,71,"norm",5,66,66,624.127494549,1,1
"distr_stats",1,"F",26,1,30,"2",137,28,71,"norm",5,66,66,530.216901165,1,1
"distr_stats",1,"F",26,1,30,"3",137,17,71,"norm",5,66,66,545.694555759,1,1
"distr_stats",1,"F",26,1,30,"4",137,20,71,"norm",5,66,66,1029.98172864,1,1
"distr_stats",1,"F",26,1,30,"5",137,16,71,"norm",5,66,66,592.720136461,1,1
"distr_stats",1,"F",26,1,30,"6",137,8,71,"norm",5,66,66,529.600186869,1,1
"distr_stats",1,"F",26,1,31,"0",108,16,31,"norm",10,77,37,592.588047147,1,1
"distr_stats",1,"F",26,1,31,"1",108,16,31,"norm",10,77,37,545.602182489,1,1
"distr_stats",1,"F",26,1,31,"2",108,5,31,"norm",10,77,37,576.839520211,1,1
"distr_stats",1,"F",26,1,31,"3",108,34,31,"norm",10,77,37,655.236759187,1,1
"distr_stats",1,"F",26,1,31,"4",108,22,31,"norm",10,77,37,561.543042176,1,1
"distr_stats",1,"F",26,1,32,"0",139,19,71,"norm",15,68,-72,1279.89828032,1,1
"distr_stats",1,"F",26,1,32,"1",139,5,71,"norm",15,68,-72,1092.10877714,1,1
"distr_stats",1,"F",26,1,32,"2",139,2,71,"norm",15,68,-72,1608.36245645,1,1
"distr_stats",1,"F",26,1,32,"3",139,6,71,"norm",15,68,-72,701.475605226,1,1
"distr_stats",1,"F",26,1,32,"4",139,13,71,"norm",15,68,-72,842.833483372,1,1
"distr_stats",1,"F",26,1,33,"0",174,11,71,"norm",5,-77,-77,592.802246034,1,1
"distr_stats",1,"F",26,1,33,"1",174,13,71,"norm",5,-77,-77,545.620478643,1,1
"distr_stats",1,"F",26,1,33,"2",174,12,71,"norm",5,-77,-77,530.127205381,1,1
"distr_stats",1,"F",26,1,33,"3",174,22,71,"norm",5,-77,-77,701.829479638,1,1
"distr_stats",1,"F",26,1,33,"4",174,7,71,"norm",5,-77,-77,514.35458107,1,1
"distr_stats",1,"F",26,1,33,"5",174,28,71,"norm",5,-77,-77,576.644063726,1,1
"distr_stats",1,"F",26,1,34,"0",159,33,91,"norm",10,68,88,3124.13106453,1,1
"distr_stats",1,"F",26,1,34,"1",159,35,91,"norm",10,68,88,1013.9150271,1,1
"distr_stats",1,"F",26,1,34,"2",159,19,91,"norm",10,68,88,608.238845841,1,1
"distr_stats",1,"F",26,1,34,"3",159,10,91,"norm",10,68,88,1530.24546102,1,1
"distr_stats",1,"F",26,1,34,"4",159,10,91,"norm",10,68,88,592.563949772,1,1
"distr_stats",1,"F",26,1,35,"0",138,35,31,"norm",15,-73,47,779.892479101,1,1
"distr_stats",1,"F",26,1,35,"1",138,1,31,"norm",15,-73,47,607.953247325,1,1
"distr_stats",1,"F",26,1,35,"2",138,3,31,"norm",15,-73,47,1013.98151801,1,1
"distr_stats",1,"F",26,1,35,"3",138,29,31,"norm",15,-73,47,592.831698381,1,1
"distr_stats",1,"F",26,1,35,"4",138,4,31,"norm",15,-73,47,670.678713966,1,1
"distr_stats",1,"F",26,1,35,"5",138,11,31,"norm",15,-73,47,592.394821901,1,1
